mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,0,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,1,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,2,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,3,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,4,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,5,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,6,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,7,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,8,0.0
Linear(),"ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.28872895925304654,0.3092919869696899,0.4867381583233719,0.47598106877703733,9,0.0
"RandomForest(299,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.158244060157603,0.5495918947983551,0.8823305286862889,1.2094353284155677,0,0.1
"RandomForest(314,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.1497619914303317,0.55816443414812,0.8533030676986292,1.2627104172193204,0,0.10481131341546858
"RandomForest(329,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.1436761384281446,0.5592520862409102,0.8585309978885447,1.2857629071661234,0,0.10985411419875583
"RandomForest(345,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.13707066961752476,0.5512061229324735,0.8862630859227988,1.3136588133276108,0,0.11513953993264472
"RandomForest(361,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.13012845584573307,0.5573756112553756,0.8651581122229037,1.4364794063820692,0,0.12067926406393285
"RandomForest(379,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.12325086409443131,0.557631148753968,0.8785213860088938,1.4338166277073945,0,0.12648552168552962
"RandomForest(397,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.11584484991850971,0.5288264522999125,0.8396601341583122,1.307571760928821,0,0.13257113655901093
"RandomForest(416,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.10776827985679166,0.5209277999807003,0.8490867282659199,1.1323786807603233,0,0.13894954943731375
"RandomForest(436,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0984919323011138,0.5214043214446776,0.8578399253031823,1.1538028392437096,0,0.14563484775012436
"RandomForest(457,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0929006101023191,0.49404009206625576,0.8611536344296431,1.1593600558763297,0,0.15264179671752334
"RandomForest(479,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.08722077373359761,0.5025007776852373,0.8163800409361408,1.1465214771354173,0,0.15998587196060582
"RandomForest(502,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.08173425616916888,0.48606420193116623,0.8360986581159856,1.1918051288089533,0,0.16768329368110083
"RandomForest(526,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.07666765127237246,0.5023089230591498,0.8318991448566999,1.1951834413445959,0,0.1757510624854792
"RandomForest(552,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.07157250580603003,0.5091492112359387,0.82339251096719,1.1895357413846097,0,0.1842069969326716
"RandomForest(578,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0670935792876952,0.5212053216677159,0.8137823110955592,1.19735591347057,0,0.193069772888325
"RandomForest(606,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.06233209276210807,0.5091610321290879,0.8014554843002583,1.2242950609805632,0,0.20235896477251566
"RandomForest(635,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.05814028551388837,0.5121544612634625,0.8020963397319161,1.2101535984786935,0,0.21209508879201905
"RandomForest(666,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.05399224329340302,0.5153597045240702,0.8161191201828517,1.1744021433179757,0,0.22229964825261944
"RandomForest(698,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.05008652315547182,0.5107212467083523,0.7820335915244866,1.255610384808477,0,0.2329951810515372
"RandomForest(732,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.04586789203854083,0.510454843898392,0.7563216661136665,1.3011292076959575,0,0.2442053094548651
"RandomForest(767,False,0)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.04190691033743148,0.5279633370774888,0.7800725454134778,1.3988445219696082,0,0.2559547922699536
