mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion,param_norm
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,0,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,1,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,2,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,3,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,4,0.0,
"RBFSampler(39,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.7719380906458934,1.093730281987692,3.3105940476066205,3.4003369427333023,0,0.1,15.6739745513968
"RBFSampler(44,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.2522369219286065,0.3470316176039029,0.85706279328637,1.1897583867548691,0,0.11288378916846889,22.360595778682033
"RBFSampler(50,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",1.3490987945523416,2.0350065655988985,2.7641629138762522,3.8717476890770492,0,0.12742749857031338,15.43727153418749
"RBFSampler(57,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.39662144590954485,0.6889398974913515,1.5329901961572385,0.7219011489317314,0,0.14384498882876628,22.108429106697944
"RBFSampler(64,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.4903294153048262,0.9128049505657122,2.047502955377453,1.0037164401550163,0,0.16237767391887217,23.637352187539395
"RBFSampler(72,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.7438893492509556,0.9078644699454319,2.490558842187199,1.5128998236462485,0,0.18329807108324356,34.82225310797807
"RBFSampler(82,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.6409913390665386,1.4629236052345322,3.9628120697049334,3.98777626971436,0,0.20691380811147897,33.31356976325775
