dset,mdl,mse_pred_test,mse_pred_train,mse_sim_test,mse_sim_train,proportion,seed,param_norm
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,0,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,1,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,2,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,3,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,4,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,5,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,6,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,7,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,8,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",Linear(),0.3125537749212335,0.313030803352664,0.47511940330449537,0.4736402575861432,0.0,9,
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(40,0.6,0)",0.6989922812856946,0.5614627293929754,1.3690481895993847,1.3719012419872207,0.1,0,19.117979579204313
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(41,0.6,0)",0.6273421283078265,0.6795644564736469,1.9968134279138459,1.7786954710571334,0.10481131341546858,0,13.268250341686445
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(43,0.6,0)",0.6776171610811311,0.8860747159597093,2.0237775543287366,2.1753856639637204,0.10985411419875583,0,13.579050194024498
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(46,0.6,0)",1.8412515696890417,1.2724154865270025,2.69564356933408,3.0058455461332834,0.11513953993264472,0,17.830232451266685
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(48,0.6,0)",0.820730348345199,0.8497931583223548,2.832606070647774,2.0054435941389395,0.12067926406393285,0,18.13171453025474
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(50,0.6,0)",2.0452456399165277,1.3490469398764153,3.395401759947674,2.7637987048744317,0.12648552168552962,0,15.571298670838074
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(53,0.6,0)",2.256161596206376,1.397221487976571,4.197235534889158,3.959949861993736,0.13257113655901093,0,14.2047805317154
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(55,0.6,0)",0.40929085885188143,0.383854296506062,1.2183902081786186,2.2482068162559443,0.13894954943731375,0,19.880259291635824
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(58,0.6,0)",0.4986532321741357,0.30575368917217766,1.058424730110302,0.8251190777488691,0.14563484775012436,0,20.82626492209172
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(61,0.6,0)",1.6200746573817282,1.0772582159858863,2.5933933854871833,2.3747251951251513,0.15264179671752334,0,21.344905601055356
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(63,0.6,0)",0.409847158421245,0.3270841729074697,1.1794972989351773,1.014935770686521,0.15998587196060582,0,22.34308463204269
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(67,0.6,0)",1.2354311076791609,0.8288375792623598,3.565339203081417,2.9769553875067714,0.16768329368110083,0,27.27522797707098
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(70,0.6,0)",0.5774596550894995,0.4293276836614856,1.548281859409509,1.4793916445109874,0.1757510624854792,0,28.943648825408218
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(73,0.6,0)",0.9504404609529848,0.7160036814082399,2.7290096371776977,2.3937308908288113,0.1842069969326716,0,21.57164626036461
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(77,0.6,0)",0.1390008857164096,0.1347125156402311,0.6394207709545889,0.7842337690944567,0.193069772888325,0,27.284092747022417
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(80,0.6,0)",0.5089985876079146,0.35674092059550677,1.866437738801162,1.8443983532338748,0.20235896477251566,0,39.23921505203992
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(84,0.6,0)",0.9020436153101004,0.3048513717466245,2.019844784797798,2.335339184719643,0.21209508879201905,0,28.455438469768364
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(88,0.6,0)",1.1806828663253277,0.4118821988793579,2.20749338758232,3.0206400260545787,0.22229964825261944,0,31.693292037735088
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(93,0.6,0)",0.6939211762673586,0.34437223219189944,3.1576510872364305,3.972945379034677,0.2329951810515372,0,37.78534665496315
