mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,0,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,1,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,2,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,3,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,4,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,5,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,6,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,7,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,8,0.0
Linear(),"Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.008660884008933924,0.01284922151612,0.07370726325102814,0.07537767614899721,9,0.0
"RandomForest(31,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",3.237187602480996,6.648632104128323,19.265332539060434,21.768354886071602,0,0.06309573444801933
"RandomForest(34,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",3.1230149673723084,6.5629534801081535,19.265332539060434,21.768354886071602,0,0.06940317047503983
"RandomForest(38,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",2.943559643881539,5.845061077554435,18.72425978020366,21.103949045086207,0,0.07634113643539091
"RandomForest(41,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",2.2292160265115575,5.035062065657359,19.17509252162408,13.363507688493279,0,0.08397266396270679
"RandomForest(45,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",2.0599432066292755,5.029276029823737,18.994471115654502,13.417977166818103,0,0.09236708571873865
"RandomForest(50,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",1.7964633133228338,4.946501886620281,18.994471115654502,13.417977166818103,0,0.1016006652827142
"RandomForest(55,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",1.6973306086173252,4.712318049049004,19.07884644274467,13.437897010532225,0,0.11175729000829515
"RandomForest(61,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",1.5549354050224797,4.732203078656035,18.672885953625386,12.554372332366468,0,0.1229292331427589
"RandomForest(67,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",1.467881114726973,4.637135959104889,17.90626023518539,12.973840344171434,0,0.13521799213228164
"RandomForest(74,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",1.3520392550930909,4.582789804623682,19.06215542942682,13.599287566762573,0,0.14873521072935114
"RandomForest(81,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",1.2570780583380374,4.539219258006326,18.60123301707632,12.80953580439413,0,0.16360369327968372
"RandomForest(89,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",1.035245814316512,4.527587632124081,13.645968049378201,15.833178036046972,0,0.17995852040347324
"RandomForest(98,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.8471187905815171,4.450611036240722,15.168500065102833,13.138497256635823,0,0.19794827620697036
"RandomForest(108,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.761741826799612,4.426401354789007,13.807864264675688,15.022028932447549,0,0.21773639817364698
"RandomForest(119,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.6634068669085426,4.406414212543646,14.009855504424504,17.441665733594714,0,0.2395026619987486
"RandomForest(131,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.5776864516277592,4.590285525128322,14.004354867974362,17.06438754652656,0,0.26344481485700155
"RandomForest(144,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.46664709372404545,4.561504002714264,11.828071819044752,16.493518415613963,0,0.2897803719417635
"RandomForest(158,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.3821147578254426,4.425948633669129,13.558514809121297,15.360018311915352,0,0.3187485925972289
"RandomForest(174,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.3106247239222094,4.384749811736034,11.867007346693024,14.505513160294434,0,0.35061265399691277
"RandomForest(192,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.24913927418836865,4.395075256069216,10.836650521986488,10.171430610500797,0,0.38566204211634725
"RandomForest(211,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.19276382428147865,4.399834769961739,5.267812042443541,13.683360503632258,0,0.4242151817220516
"RandomForest(232,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.14996841566186958,4.522083538042139,7.096820122888247,14.10091101724031,0,0.46662232927030717
"RandomForest(255,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.11360090812860976,4.6195056843404565,5.617292046366581,12.632081139649433,0,0.5132687549978098
"RandomForest(281,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.07252212965780584,4.510248899477462,6.9694566820179435,13.126455905567386,0,0.564578243113591
"RandomForest(309,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.04278030960395545,4.5340496860546,6.729664152218689,15.569206287491118,0,0.6210169418915616
"RandomForest(340,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.02418602340707301,4.521550144817122,10.378083345479055,12.307849098726463,0,0.6830975986418832
"RandomForest(374,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.010288513177586469,4.576335523055673,10.451176579019556,15.808451151136941,0,0.7513842180360131
"RandomForest(411,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.002990862923683926,4.525576106915546,8.444683386241646,11.791048824988378,0,0.8264971861064521
"RandomForest(452,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.00042595836060617235,4.527852588317115,3.7963029598374853,13.00059822065307,0,0.9091189064728841
"RandomForest(498,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.0,4.536677606982412,0.0,13.006405267268725,0,1.0
"RandomForest(498,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.0,4.536677606982412,0.0,13.006405267268725,0,1.0000230261160268
"RandomForest(583,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.035994050780459336,3.5651196162250933,4.642792552605515,8.20485063870754,0,1.1721283558327198
"RandomForest(684,False,0)","Order2LinearDSet(500,100,0.1,0,1.0,1,1.0,1)",0.013552851053622628,3.545358959620092,4.63227679057483,10.173753811743822,0,1.3738532480428214
